key	es	pt
ui.rating.slider.0	Nada	Nada
ui.rating.slider.1	Muy poco	Muito pouco
ui.rating.slider.2	Algo	Um pouco
ui.rating.slider.3	Bastante	Bastante
ui.rating.slider.4	Mucho	Muito
ui.rating.slider.5	Totalmente	Totalmente
ui.rating.level.0	muy baja	muito baixa
ui.rating.level.1	baja	baixa
ui.rating.level.2	regular	regular
ui.rating.level.3	alta	alta
ui.rating.level.4	muy alta	muito alta
ui.auth.rate-to-continue	califica para continuar	avalie para continuar
ui.auth.privacy-link	Aviso de Privacidad	Aviso de Privacidade
ui.auth.error-bad-credentials	Correo o contraseña incorrectos.	E-mail ou senha incorretos.
ui.auth.error-email-not-confirmed	Confirma tu correo electrónico antes de iniciar sesión.	Confirme seu e-mail antes de entrar.
ui.auth.error-already-registered	Ya existe una cuenta con este correo. Inicia sesión.	Já existe uma conta com esse e-mail. Faça login.
ui.auth.error-password-too-short	La contraseña debe tener al menos 6 caracteres.	A senha deve ter pelo menos 6 caracteres.
ui.auth.error-rate-limit	Espera unos segundos antes de intentarlo de nuevo.	Aguarde alguns segundos antes de tentar novamente.
ui.auth.error-unknown	Error desconocido. Intenta de nuevo.	Erro desconhecido. Tente novamente.
ui.auth.login-context	Compilación del curso de Finanzas Conductuales · Universidad Iberoamericana CDMX · Prof. Rodrigo Marques	Compilação do curso de Finanças Comportamentais · Universidad Iberoamericana CDMX · Prof. Rodrigo Marques
ui.auth.login-headline	Conoce tu mente<br><em>de inversionista</em>	Conheça sua mente<br><em>de investidor</em>
ui.auth.login-sub	Explora 15 sesgos que afectan tus decisiones financieras. Descubre tu perfil BIT y recibe un informe personalizado.	Explore 15 vieses que afetam suas decisões financeiras. Descubra seu perfil BIT e receba um relatório personalizado.
ui.auth.btn-google	Continuar con Google	Continuar com o Google
ui.auth.divider-or	o	ou
ui.auth.placeholder-email	Correo electrónico	E-mail
ui.auth.placeholder-password	Contraseña	Senha
ui.auth.btn-login	Entrar	Entrar
ui.auth.btn-forgot-password	¿Olvidaste tu contraseña?	Esqueceu sua senha?
ui.auth.btn-to-signup	Crear cuenta →	Criar conta →
ui.auth.signup-headline	Crear cuenta	Criar conta
ui.auth.signup-sub	Accede a los 15 módulos de sesgos y tu perfil BIT personalizado.	Acesse os 15 módulos de vieses e o seu perfil BIT personalizado.
ui.auth.placeholder-new-password	Contraseña (mín. 6 caracteres)	Senha (mín. 6 caracteres)
ui.auth.placeholder-confirm-password	Confirmar contraseña	Confirmar senha
ui.auth.consent-label	Acepto la <a href="privacy.html" target="_blank" rel="noopener">Política de Privacidad</a> y el tratamiento de mis datos para fines educativos.	Aceito a <a href="privacy.html" target="_blank" rel="noopener">Política de Privacidade</a> e o tratamento dos meus dados para fins educativos.
ui.auth.btn-signup	Crear cuenta	Criar conta
ui.auth.btn-to-login	¿Ya tienes cuenta? Inicia sesión	Já tem conta? Entrar
ui.auth.forgot-headline	Recuperar contraseña	Recuperar senha
ui.auth.forgot-sub	Ingresa tu correo y te enviaremos un enlace para crear una nueva contraseña.	Digite seu e-mail e enviaremos um link para criar uma nova senha.
ui.auth.btn-send-instructions	Enviar instrucciones	Enviar instruções
ui.auth.btn-back	← Volver	← Voltar
ui.auth.reset-sent-title	Revisa tu correo	Verifique seu e-mail
ui.auth.reset-sent-body	Enviamos las instrucciones a <strong>{email}</strong>. Haz clic en el enlace del correo para crear tu nueva contraseña.	Enviamos as instruções para <strong>{email}</strong>. Clique no link do e-mail para criar sua nova senha.
ui.auth.reset-sent-hint	No lo encuentras? Revisa la carpeta de spam.	Não encontrou? Verifique a pasta de spam.
ui.auth.check-email-title	Confirma tu correo	Confirme seu e-mail
ui.auth.check-email-body	Enviamos un enlace de confirmación a <strong>{email}</strong>. Haz clic en el enlace para activar tu cuenta y luego inicia sesión.	Enviamos um link de confirmação para <strong>{email}</strong>. Clique no link para ativar sua conta e depois entre.
ui.auth.check-email-hint	No lo encuentras? Revisa spam o reenvía el correo.	Não encontrou? Verifique o spam ou reenvie o e-mail.
ui.auth.btn-resend-confirmation	Reenviar correo de confirmación	Reenviar e-mail de confirmação
ui.auth.btn-back-to-login	← Volver al inicio de sesión	← Voltar para o login
ui.auth.resend-sending	Enviando…	Enviando…
ui.auth.resend-done	✓ Correo enviado	✓ E-mail enviado
ui.auth.resend-error	Error al reenviar	Erro ao reenviar
ui.auth.new-password-headline	Nueva contraseña	Nova senha
ui.auth.new-password-sub	Elige una nueva contraseña para tu cuenta.	Escolha uma nova senha para a sua conta.
ui.auth.placeholder-new-password-set	Nueva contraseña (mín. 6 caracteres)	Nova senha (mín. 6 caracteres)
ui.auth.btn-save-password	Guardar contraseña	Salvar senha
ui.auth.login-loading	Entrando…	Entrando…
ui.auth.passwords-mismatch	Las contraseñas no coinciden.	As senhas não coincidem.
ui.auth.signup-loading	Creando cuenta…	Criando conta…
ui.auth.forgot-loading	Enviando…	Enviando…
ui.auth.new-password-loading	Guardando…	Salvando…
ui.auth.signup-context	Compilación del curso de Finanzas Conductuales · Universidad Iberoamericana CDMX · Prof. Rodrigo Marques	Compilação do curso de Finanças Comportamentais · Universidad Iberoamericana CDMX · Prof. Rodrigo Marques
ui.auth.onboarding-welcome-mark	Bienvenido	Bem-vindo
ui.auth.onboarding-title	10 años compilados en una jornada de autoconocimiento	10 anos compilados em uma jornada de autoconhecimento
ui.auth.onboarding-lead	Esta plataforma es una versión interactiva de 10 años de estudio, observación y aplicación de finanzas conductuales — compilados en una jornada de autoconocimiento para tomar decisiones más racionales.	Esta plataforma é uma versão interativa de 10 anos de estudo, observação e aplicação de finanças comportamentais — compilados em uma jornada de autoconhecimento para tomar decisões mais racionais.
ui.auth.onboarding-time-title	⏱ Alrededor de 2 horas en total	⏱ Cerca de 2 horas no total
