key	domain	es_mx	pt_br
question.1.prompt	question	Recibes tu mesada del mes. Después de cubrir gastos fijos, te sobran $2,000 MXN.	Você recebe sua mesada do mês. Depois de cobrir os gastos fixos, sobram R$ 600.
question.1.opt.A.text	question	Lo meto a algo que pueda dar buen rendimiento aunque sea arriesgado	Coloco em algo que possa render bem, mesmo que seja arriscado
question.1.opt.B.text	question	Investigo en internet opciones como Cetesdirecto o fondos antes de decidir	Pesquiso na internet opções como Cetesdirecto ou fundos antes de decidir
question.1.opt.C.text	question	Lo guardo en mi cuenta y no lo toco, prefiero tenerlo seguro	Guardo na minha conta e não mexo, prefiro ter o dinheiro seguro
question.1.opt.D.text	question	Le pregunto a alguien que sepa de dinero qué me conviene	Pergunto para alguém que entende de dinheiro o que me convém
question.2.prompt	question	Tu mejor amigo te propone ser socio en un negocio. Necesitas poner $5,000 MXN. Varios del grupo ya dijeron que sí.	Seu melhor amigo propõe que você seja sócio em um negócio. Você precisa colocar R$ 1.500. Vários do grupo já disseram que sim.
question.2.opt.A.text	question	Si varios ya entraron y confío en mi amigo, le entro también	Se vários já entraram e confio no meu amigo, entro também
question.2.opt.B.text	question	Le digo que no, prefiero no arriesgar mi dinero en algo incierto	Digo que não, prefiro não arriscar meu dinheiro em algo incerto
question.2.opt.C.text	question	Le pido el plan de negocio, números, y decido con base en eso	Peço o plano de negócio, os números, e decido com base nisso
question.2.opt.D.text	question	Me emociona la idea, le entro de una y quiero participar activamente	A ideia me anima, entro de imediato e quero participar ativamente
question.3.prompt	question	En tu grupo de amigos todos hablan de una cripto que subió 40% en una semana. Varios ya compraron y te presionan para que entres.	No seu grupo de amigos todos falam de uma cripto que subiu 40% em uma semana. Vários já compraram e estão te pressionando para entrar.
question.3.opt.A.text	question	Busco información por mi cuenta antes de meter un peso	Busco informação por conta própria antes de investir um centavo
question.3.opt.B.text	question	No me importa lo que digan, yo no le entro a cosas que no entiendo bien	Não me importa o que digam, não entro em coisas que não entendo bem
question.3.opt.C.text	question	Si tanta gente está ganando, algo de cierto debe haber, meto una cantidad moderada	Se tanta gente está ganhando, algo de verdade deve haver, coloco uma quantia moderada
question.3.opt.D.text	question	Le meto con todo, este tipo de oportunidades no se presentan dos veces	Entro com tudo, esse tipo de oportunidade não aparece duas vezes
question.4.prompt	question	Es Hot Sale y ves una laptop con 35% de descuento. No la necesitas urgentemente, pero la oferta se acaba en 24 horas.	É uma promoção especial e você vê um notebook com 35% de desconto. Não precisa dele com urgência, mas a oferta acaba em 24 horas.
question.4.opt.A.text	question	La compro, estas oportunidades no se repiten	Compro, essas oportunidades não se repetem
question.4.opt.B.text	question	Comparo specs, reviews, precios en otras tiendas y si conviene la compro	Comparo specs, reviews, preços em outras lojas e, se valer a pena, compro
question.4.opt.C.text	question	No la compro, prefiero guardar ese dinero por si surge algo que sí necesite	Não compro, prefiro guardar esse dinheiro caso apareça algo que realmente precise
question.4.opt.D.text	question	Le pregunto a alguien que sepa de tecnología si realmente vale la pena	Pergunto a alguém que entenda de tecnologia se realmente vale a pena
question.5.prompt	question	Quieres irte de intercambio. Necesitas juntar $80,000 MXN en 10 meses. Hoy tienes $0 ahorrados.	Você quer fazer um intercâmbio. Precisa juntar R$ 25.000 em 10 meses. Hoje você tem R$ 0 poupados.
question.5.opt.A.text	question	Me armo un plan detallado: cuánto ahorrar al mes, en qué instrumento, con fechas	Monto um plano detalhado: quanto poupar por mês, em qual instrumento, com datas
question.5.opt.B.text	question	Le pido ayuda a mis papás o busco una beca, solo no creo poder	Peço ajuda aos meus pais ou busco uma bolsa, sozinho acho que não consigo
question.5.opt.C.text	question	Siento que es imposible, mejor busco opciones más baratas	Sinto que é impossível, melhor buscar opções mais baratas
question.5.opt.D.text	question	Busco generar dinero extra de donde sea — freelance, venta de cosas	Busco gerar renda extra de onde for — freelance, venda de coisas
question.6.prompt	question	El banco te ofrece tu primera tarjeta de crédito con un límite de $15,000 MXN.	O banco te oferece seu primeiro cartão de crédito com um limite de R$ 4.000.
question.6.opt.A.text	question	La acepto de volada, tener crédito me abre puertas	Aceito na hora, ter crédito abre portas
